No,Titulo,Autor,Editorial,Idioma,ISBN13
336,Médicos en peligro,"Slaughter, Frank G.",Planeta,es,9788408002741
337,Con el corazón de otro,"Slaughter, Frank G.",Caralt,es,9788421742822
338,Sophie's choice,"Styron, William",Corgi Books,en,9780552116107
339,El perfume,"Süskind, Patrick",Planeta,es,9788408462125
340,A Number of Things,"Thornley, G. C.",Longman,en,9780582531710
341,La senda dorada,"Turnbull, Agnes Sligh",Cisne,es,
342,Las aventuras de Tom Sawyer,"Twain, Mark",El Mundo,es,9788481301496
343,Guerras privadas,"Ugarte, Pedro",NH Hoteles,es,
344,"Garzón, el hombre que veía amanecer","Urbano, Pilar",Plaza & Janés,es,9788401376511
345,Libros escogidos (biblioteca de Selecciones),"Varios (Victoria Holt, Francis Clifford, Winston M. Estes, Dr. Charles W. Mayo)",Selecciones del Reader's Digest,es,
346,Don Juan de Borbón,Varios,"Rueda J.M.S.A., ediciones",es,9788484470281
347,Grace Kelly,Varios,"Rueda J.M.S.A., ediciones",es,9788484470182
348,Bearn o La sala de las muñecas,"Villalonga, Lorenzo",Seix Barral,es,9788432220036
349,The president's child,"Weldon, Fay",Coronet,en,9780340339657
350,La lápida templaria,"Wilcox, Nicholas",Planeta,es,9788461122011
351,La colina de watership,"Adams, Richard",Círculo de Lectores,es,9788422607441
