No,Titulo,Autor
527,Biblioteca de Selecciones. Libros escogidos,"Varios (Dorothy Uhnak, Hans Hellmut Kirst, Eulalia Galvarriato, Camilo José Cela, Taylor Caldwell)"
528,El mundo de la opera. Vol. II. Un divertimento cortesano,Varios
529,El mundo de la opera. Vol. I. El descubrimiento italiano,Varios
530,Fuenteovejuna. Peribañez,"Vega, Lope de"
531,Belledonne habitación 16,"Vries, Anke de"
532,Five Famous Fairy Tales,"West, Michael"
533,The Lady from the Sea,"West, Michael"
534,King Arthur and the Knights of the Round Table,"West, Michael"
535,Nuestros mejores vinos. La guía 2006,Varios
536,¿Dónde viviremos mañana?,"Ragon, Michel"
537,La ley de Murphy del 2000,"Bloch, Arthur"
538,Tócala otra vez,"Bogart, Stephen Humphrey"
539,La casona,"Bromfield, Louis"
540,Top Model,"Campbell, Naomi"
541,Un hueso en la autopista,"Camus, William"
542,Cela obras completas vol. 4 (El gallego y su cuadrilla y otros apuntes carpetovetónicos),"Cela, Camilo José"
